model,rung,source,n,accuracy,mean_score,run_ids
GLM-5,131072,infinitebench,4,0.75,0.7635135135135135,glm5_ib_longbook_choice_eng_131072_s00;glm5_ib_longbook_qa_eng_131072_s00;glm5_ib_number_string_131072_s00;glm5_ib_passkey_131072_s00
GLM-5,131072,longbench_v2,4,0.0,0.0,glm5_lb2_code_131072_s01;glm5_lb2_long_131072_s02;glm5_lb2_long_131072_s03;glm5_lb2_single-document_131072_s00
GLM-5,131072,ruler,8,0.875,0.875,glm5_ruler_niah_single_2_131072_s00;glm5_ruler_niah_single_2_131072_s01;glm5_ruler_niah_single_2_131072_s02;glm5_ruler_niah_single_2_131072_s03;glm5_ruler_qa_1_131072_s00;glm5_ruler_qa_1_131072_s01;glm5_ruler_qa_1_131072_s02;glm5_ruler_qa_1_131072_s03
GLM-5.2,8192,infinitebench,4,0.5,0.5365853658536586,glm52_ib_longbook_choice_eng_8192_s00;glm52_ib_longbook_qa_eng_8192_s00;glm52_ib_number_string_8192_s00;glm52_ib_passkey_8192_s00
GLM-5.2,8192,longbench_v1,4,,0.2003534534565266,glm52_lb1_gov_report_8192_s00;glm52_lb1_gov_report_8192_s01;glm52_lb1_multi_news_8192_s03;glm52_lb1_qmsum_8192_s02
GLM-5.2,8192,longbench_v2,4,0.25,0.25,glm52_lb2_code_8192_s03;glm52_lb2_long-dialogue_8192_s01;glm52_lb2_multi-document_8192_s02;glm52_lb2_single-document_8192_s00
GLM-5.2,8192,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_8192_s00;glm52_ruler_niah_single_2_8192_s01;glm52_ruler_niah_single_2_8192_s02;glm52_ruler_niah_single_2_8192_s03;glm52_ruler_qa_1_8192_s00;glm52_ruler_qa_1_8192_s01;glm52_ruler_qa_1_8192_s02;glm52_ruler_qa_1_8192_s03
GLM-5.2,16384,infinitebench,4,0.75,0.8141025641025641,glm52_ib_longbook_choice_eng_16384_s00;glm52_ib_longbook_qa_eng_16384_s00;glm52_ib_number_string_16384_s00;glm52_ib_passkey_16384_s00
GLM-5.2,16384,longbench_v1,4,,0.2285987244037966,glm52_lb1_gov_report_16384_s00;glm52_lb1_gov_report_16384_s01;glm52_lb1_gov_report_16384_s02;glm52_lb1_qmsum_16384_s03
GLM-5.2,16384,longbench_v2,4,0.25,0.25,glm52_lb2_code_16384_s03;glm52_lb2_long-dialogue_16384_s01;glm52_lb2_multi-document_16384_s02;glm52_lb2_single-document_16384_s00
GLM-5.2,16384,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_16384_s00;glm52_ruler_niah_single_2_16384_s01;glm52_ruler_niah_single_2_16384_s02;glm52_ruler_niah_single_2_16384_s03;glm52_ruler_qa_1_16384_s00;glm52_ruler_qa_1_16384_s01;glm52_ruler_qa_1_16384_s02;glm52_ruler_qa_1_16384_s03
GLM-5.2,32768,infinitebench,4,0.75,0.8040540540540541,glm52_ib_longbook_choice_eng_32768_s00;glm52_ib_longbook_qa_eng_32768_s00;glm52_ib_number_string_32768_s00;glm52_ib_passkey_32768_s00
GLM-5.2,32768,longbench_v1,4,,0.20648702061068597,glm52_lb1_gov_report_32768_s01;glm52_lb1_gov_report_32768_s02;glm52_lb1_gov_report_32768_s03;glm52_lb1_qmsum_32768_s00
GLM-5.2,32768,longbench_v2,4,0.5,0.5,glm52_lb2_code_32768_s03;glm52_lb2_long-dialogue_32768_s01;glm52_lb2_multi-document_32768_s02;glm52_lb2_single-document_32768_s00
GLM-5.2,32768,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_32768_s00;glm52_ruler_niah_single_2_32768_s01;glm52_ruler_niah_single_2_32768_s02;glm52_ruler_niah_single_2_32768_s03;glm52_ruler_qa_1_32768_s00;glm52_ruler_qa_1_32768_s01;glm52_ruler_qa_1_32768_s02;glm52_ruler_qa_1_32768_s03
GLM-5.2,65536,infinitebench,4,0.75,0.8571428571428571,glm52_ib_longbook_choice_eng_65536_s00;glm52_ib_longbook_qa_eng_65536_s00;glm52_ib_number_string_65536_s00;glm52_ib_passkey_65536_s00
GLM-5.2,65536,longbench_v1,3,,0.21232275024245828,glm52_lb1_gov_report_65536_s00;glm52_lb1_gov_report_65536_s01;glm52_lb1_gov_report_65536_s02
GLM-5.2,65536,longbench_v2,4,0.5,0.5,glm52_lb2_code_65536_s03;glm52_lb2_long-dialogue_65536_s01;glm52_lb2_multi-document_65536_s02;glm52_lb2_single-document_65536_s00
GLM-5.2,65536,ruler,8,1.0,1.0,glm52_ruler_niah_single_2_65536_s00;glm52_ruler_niah_single_2_65536_s01;glm52_ruler_niah_single_2_65536_s02;glm52_ruler_niah_single_2_65536_s03;glm52_ruler_qa_1_65536_s00;glm52_ruler_qa_1_65536_s01;glm52_ruler_qa_1_65536_s02;glm52_ruler_qa_1_65536_s03
GLM-5.2,131072,infinitebench,4,0.75,0.7905405405405406,glm52_ib_longbook_choice_eng_131072_s00;glm52_ib_longbook_qa_eng_131072_s00;glm52_ib_number_string_131072_s00;glm52_ib_passkey_131072_s00
GLM-5.2,131072,longbench_v2,4,0.25,0.25,glm52_lb2_code_131072_s01;glm52_lb2_long_131072_s02;glm52_lb2_long_131072_s03;glm52_lb2_single-document_131072_s00
GLM-5.2,131072,ruler,8,0.75,0.75,glm52_ruler_niah_single_2_131072_s00;glm52_ruler_niah_single_2_131072_s01;glm52_ruler_niah_single_2_131072_s02;glm52_ruler_niah_single_2_131072_s03;glm52_ruler_qa_1_131072_s00;glm52_ruler_qa_1_131072_s01;glm52_ruler_qa_1_131072_s02;glm52_ruler_qa_1_131072_s03
GLM-5.2,8192,infinitebench,4,0.5,0.5365853658536586,glm52_ib_longbook_choice_eng_8192_s00_b;glm52_ib_longbook_qa_eng_8192_s00_b;glm52_ib_number_string_8192_s00_b;glm52_ib_passkey_8192_s00_b
GLM-5.2,8192,longbench_v1,4,,0.2003534534565266,glm52_lb1_gov_report_8192_s00_b;glm52_lb1_gov_report_8192_s01_b;glm52_lb1_multi_news_8192_s03_b;glm52_lb1_qmsum_8192_s02_b
GLM-5.2,8192,longbench_v2,4,0.25,0.25,glm52_lb2_code_8192_s03_b;glm52_lb2_long-dialogue_8192_s01_b;glm52_lb2_multi-document_8192_s02_b;glm52_lb2_single-document_8192_s00_b
GLM-5.2,8192,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_8192_s00_b;glm52_ruler_niah_single_2_8192_s01_b;glm52_ruler_niah_single_2_8192_s02_b;glm52_ruler_niah_single_2_8192_s03_b;glm52_ruler_qa_1_8192_s00_b;glm52_ruler_qa_1_8192_s01_b;glm52_ruler_qa_1_8192_s02_b;glm52_ruler_qa_1_8192_s03_b
GLM-5.2,16384,infinitebench,4,0.75,0.8141025641025641,glm52_ib_longbook_choice_eng_16384_s00_b;glm52_ib_longbook_qa_eng_16384_s00_b;glm52_ib_number_string_16384_s00_b;glm52_ib_passkey_16384_s00_b
GLM-5.2,16384,longbench_v1,4,,0.2285987244037966,glm52_lb1_gov_report_16384_s00_b;glm52_lb1_gov_report_16384_s01_b;glm52_lb1_gov_report_16384_s02_b;glm52_lb1_qmsum_16384_s03_b
GLM-5.2,16384,longbench_v2,4,0.25,0.25,glm52_lb2_code_16384_s03_b;glm52_lb2_long-dialogue_16384_s01_b;glm52_lb2_multi-document_16384_s02_b;glm52_lb2_single-document_16384_s00_b
GLM-5.2,16384,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_16384_s00_b;glm52_ruler_niah_single_2_16384_s01_b;glm52_ruler_niah_single_2_16384_s02_b;glm52_ruler_niah_single_2_16384_s03_b;glm52_ruler_qa_1_16384_s00_b;glm52_ruler_qa_1_16384_s01_b;glm52_ruler_qa_1_16384_s02_b;glm52_ruler_qa_1_16384_s03_b
GLM-5.2,32768,infinitebench,4,0.75,0.8040540540540541,glm52_ib_longbook_choice_eng_32768_s00_b;glm52_ib_longbook_qa_eng_32768_s00_b;glm52_ib_number_string_32768_s00_b;glm52_ib_passkey_32768_s00_b
GLM-5.2,32768,longbench_v1,4,,0.20648702061068597,glm52_lb1_gov_report_32768_s01_b;glm52_lb1_gov_report_32768_s02_b;glm52_lb1_gov_report_32768_s03_b;glm52_lb1_qmsum_32768_s00_b
GLM-5.2,32768,longbench_v2,4,0.5,0.5,glm52_lb2_code_32768_s03_b;glm52_lb2_long-dialogue_32768_s01_b;glm52_lb2_multi-document_32768_s02_b;glm52_lb2_single-document_32768_s00_b
GLM-5.2,32768,ruler,8,0.875,0.875,glm52_ruler_niah_single_2_32768_s00_b;glm52_ruler_niah_single_2_32768_s01_b;glm52_ruler_niah_single_2_32768_s02_b;glm52_ruler_niah_single_2_32768_s03_b;glm52_ruler_qa_1_32768_s00_b;glm52_ruler_qa_1_32768_s01_b;glm52_ruler_qa_1_32768_s02_b;glm52_ruler_qa_1_32768_s03_b
GLM-5.2,65536,infinitebench,4,0.75,0.8571428571428571,glm52_ib_longbook_choice_eng_65536_s00_b;glm52_ib_longbook_qa_eng_65536_s00_b;glm52_ib_number_string_65536_s00_b;glm52_ib_passkey_65536_s00_b
GLM-5.2,65536,longbench_v1,3,,0.21232275024245828,glm52_lb1_gov_report_65536_s00_b;glm52_lb1_gov_report_65536_s01_b;glm52_lb1_gov_report_65536_s02_b
GLM-5.2,65536,longbench_v2,4,0.5,0.5,glm52_lb2_code_65536_s03_b;glm52_lb2_long-dialogue_65536_s01_b;glm52_lb2_multi-document_65536_s02_b;glm52_lb2_single-document_65536_s00_b
GLM-5.2,65536,ruler,8,1.0,1.0,glm52_ruler_niah_single_2_65536_s00_b;glm52_ruler_niah_single_2_65536_s01_b;glm52_ruler_niah_single_2_65536_s02_b;glm52_ruler_niah_single_2_65536_s03_b;glm52_ruler_qa_1_65536_s00_b;glm52_ruler_qa_1_65536_s01_b;glm52_ruler_qa_1_65536_s02_b;glm52_ruler_qa_1_65536_s03_b
GLM-5.2,131072,infinitebench,4,0.75,0.7905405405405406,glm52_ib_longbook_choice_eng_131072_s00_b;glm52_ib_longbook_qa_eng_131072_s00_b;glm52_ib_number_string_131072_s00_b;glm52_ib_passkey_131072_s00_b
GLM-5.2,131072,longbench_v2,4,0.25,0.25,glm52_lb2_code_131072_s01_b;glm52_lb2_long_131072_s02_b;glm52_lb2_long_131072_s03_b;glm52_lb2_single-document_131072_s00_b
GLM-5.2,131072,ruler,8,0.75,0.75,glm52_ruler_niah_single_2_131072_s00_b;glm52_ruler_niah_single_2_131072_s01_b;glm52_ruler_niah_single_2_131072_s02_b;glm52_ruler_niah_single_2_131072_s03_b;glm52_ruler_qa_1_131072_s00_b;glm52_ruler_qa_1_131072_s01_b;glm52_ruler_qa_1_131072_s02_b;glm52_ruler_qa_1_131072_s03_b
